ROTA;LOCALIDADE;REGIÃO;VALOR_UNITÁRIO
3745;Armenia - Mobile;LDIM;1,517400
37477;Armenia - Mobile;LDIM;1,517400
37441;Armenia - Mobile;LDIM;1,517400
3749;Armenia - Mobile;LDIM;1,517400
297;Aruba;LDIF;0,479200
29756;Aruba - Mobile;LDIM;1,257300
29766;Aruba - Mobile;LDIM;1,257300
29773;Aruba - Mobile;LDIM;1,257300
29759;Aruba - Mobile;LDIM;1,257300
297641;Aruba - Mobile;LDIM;1,257300
29769;Aruba - Mobile;LDIM;1,257300
29774;Aruba - Mobile;LDIM;1,257300
2979;Aruba - Mobile;LDIM;1,257300
297600;Aruba - Mobile;LDIM;1,257300
297622;Aruba - Mobile;LDIM;1,257300
297630;Aruba - Mobile;LDIM;1,257300
297640;Aruba - Mobile;LDIM;1,257300
247;Ascension Island;LDIF;6,000000
61;Australia;LDIF;0,116200
61891;Australia - Christmas Island (The Settlement);LDIF;0,116200
6138;Australia - Melbourne;LDIF;0,116200
6139;Australia - Melbourne;LDIF;0,116200
6114;Australia - Mobile;LDIM;0,937800
6115;Australia - Mobile;LDIM;0,937800
614;Australia - Mobile;LDIM;0,937800
6116;Australia - Mobile;LDIM;0,937800
6117;Australia - Mobile;LDIM;0,937800
6118;Australia - Mobile;LDIM;0,937800
6119;Australia - Mobile;LDIM;0,937800
61411;Australia - Mobile - Optus;LDIM;0,937800
61412;Australia - Mobile - Optus;LDIM;0,937800
61413;Australia - Mobile - Optus;LDIM;0,937800
61421;Australia - Mobile - Optus;LDIM;0,937800
614689;Australia - Mobile - Optus;LDIM;0,937800
61478;Australia - Mobile - Optus;LDIM;0,937800
614790;Australia - Mobile - Optus;LDIM;0,937800
614791;Australia - Mobile - Optus;LDIM;0,937800
61401;Australia - Mobile - Optus;LDIM;0,937800
61403;Australia - Mobile - Optus;LDIM;0,937800
61422;Australia - Mobile - Optus;LDIM;0,937800
61431;Australia - Mobile - Optus;LDIM;0,937800
61434;Australia - Mobile - Optus;LDIM;0,937800
614685;Australia - Mobile - Optus;LDIM;0,937800
614687;Australia - Mobile - Optus;LDIM;0,937800
61402;Australia - Mobile - Optus;LDIM;0,937800
61423;Australia - Mobile - Optus;LDIM;0,937800
61432;Australia - Mobile - Optus;LDIM;0,937800
614686;Australia - Mobile - Optus;LDIM;0,937800
614688;Australia - Mobile - Optus;LDIM;0,937800
61482;Australia - Mobile - Optus;LDIM;0,937800
61435;Australia - Mobile - Optus;LDIM;0,937800
61466;Australia - Mobile - Optus;LDIM;0,937800
614683;Australia - Mobile - Optus;LDIM;0,937800
614684;Australia - Mobile - Optus;LDIM;0,937800
6128;Australia - Sydney;LDIF;0,116200
6129;Australia - Sydney;LDIF;0,116200
43;Austria;LDIF;0,118600
43662;Austria;LDIF;0,118600
43644;Austria - Mobile;LDIM;1,662500
43650;Austria - Mobile;LDIM;1,662500
43651;Austria - Mobile;LDIM;1,662500
43780;Austria - Mobile;LDIM;1,662500
438;Austria - Mobile;LDIM;1,662500
439;Austria - Mobile;LDIM;1,662500
43653;Austria - Mobile;LDIM;1,662500
43657;Austria - Mobile;LDIM;1,662500
43720;Austria - Mobile;LDIM;1,662500
43740;Austria - Mobile;LDIM;1,662500
43652;Austria - Mobile;LDIM;1,662500
43655;Austria - Mobile;LDIM;1,662500
43659;Austria - Mobile;LDIM;1,662500
43711;Austria - Mobile;LDIM;1,662500
43730;Austria - Mobile;LDIM;1,662500
4366;Austria - Mobile;LDIM;1,662500
4367;Austria - Mobile;LDIM;1,662500
4368;Austria - Mobile;LDIM;1,662500
4369;Austria - Mobile;LDIM;1,662500
431;Austria - Viena;LDIF;0,118600
994;Azerbaijan;LDIF;0,690600
99440;Azerbaijan - Mobile;LDIM;1,517400
99451;Azerbaijan - Mobile;LDIM;1,517400
99455;Azerbaijan - Mobile;LDIM;1,517400
99460;Azerbaijan - Mobile;LDIM;1,517400
99470;Azerbaijan - Mobile;LDIM;1,517400
99477;Azerbaijan - Mobile;LDIM;1,517400
99450;Azerbaijan - Mobile;LDIM;1,517400
1242;Bahamas;LDIF;0,203100
1242430;Bahamas;LDIF;0,203100
1242444;Bahamas;LDIF;0,203100
1242469;Bahamas;LDIF;0,203100
1242555;Bahamas;LDIF;0,203100
1242420;Bahamas;LDIF;0,203100
1242440;Bahamas;LDIF;0,203100
1242550;Bahamas;LDIF;0,203100
1242450;Bahamas;LDIF;0,203100
1242459;Bahamas;LDIF;0,203100
1242460;Bahamas;LDIF;0,203100
1242461;Bahamas;LDIF;0,203100
124247;Bahamas - Mobile;LDIM;0,203100
1242481;Bahamas - Mobile;LDIM;0,203100
1242524;Bahamas - Mobile;LDIM;0,203100
1242525;Bahamas - Mobile;LDIM;0,203100
1242533;Bahamas - Mobile;LDIM;0,203100
1242357;Bahamas - Mobile;LDIM;0,203100
124243;Bahamas - Mobile;LDIM;0,203100
124245;Bahamas - Mobile;LDIM;0,203100
1242535;Bahamas - Mobile;LDIM;0,203100
124255;Bahamas - Mobile;LDIM;0,203100
124244;Bahamas - Mobile;LDIM;0,203100
124246;Bahamas - Mobile;LDIM;0,203100
1242544;Bahamas - Mobile;LDIM;0,203100
1242565;Bahamas - Mobile;LDIM;0,203100
1242359;Bahamas - Mobile;LDIM;0,203100
1242375;Bahamas - Mobile;LDIM;0,203100
1242395;Bahamas - Mobile;LDIM;0,203100
124242;Bahamas - Mobile;LDIM;0,203100
1242577;Bahamas - Mobile;LDIM;0,203100
1242636;Bahamas - Mobile;LDIM;0,203100
1242646;Bahamas - Mobile;LDIM;0,203100
1242727;Bahamas - Mobile;LDIM;0,203100
973;Bahrain;LDIF;0,894900
9733;Bahrain - Mobile;LDIM;0,913700
97366;Bahrain - Mobile;LDIM;0,913700
97363;Bahrain - Mobile;LDIM;0,913700
9737;Bahrain - Mobile;LDIM;0,913700
97377;Bahrain - Mobile;LDIM;0,913700
880;Bangladesh;LDIF;0,341700
88031;Bangladesh - Chittagong;LDIF;0,341700
8802;Bangladesh - Dhaka;LDIF;0,341700
8801;Bangladesh - Mobile;LDIM;0,237200
88017;Bangladesh - Mobile - Exceptions;LDIM;0,237200
88018;Bangladesh - Mobile - Exceptions;LDIM;0,237200
1246;Barbados;LDIF;0,632400
124628;Barbados - Mobile;LDIM;1,319500
1246447;Barbados - Mobile;LDIM;1,319500
1246532;Barbados - Mobile;LDIM;1,319500
1246534;Barbados - Mobile;LDIM;1,319500
1246446;Barbados - Mobile;LDIM;1,319500
1246448;Barbados - Mobile;LDIM;1,319500
1246531;Barbados - Mobile;LDIM;1,319500
1246533;Barbados - Mobile;LDIM;1,319500
124623;Barbados - Mobile;LDIM;1,319500
124624;Barbados - Mobile;LDIM;1,319500
124625;Barbados - Mobile;LDIM;1,319500
124626;Barbados - Mobile;LDIM;1,319500
124682;Barbados - Mobile;LDIM;1,319500
124683;Barbados - Mobile;LDIM;1,319500
124684;Barbados - Mobile;LDIM;1,319500
124685;Barbados - Mobile;LDIM;1,319500
1246449;Barbados - Mobile;LDIM;1,319500
124645;Barbados - Mobile;LDIM;1,319500
124652;Barbados - Mobile;LDIM;1,319500
1246530;Barbados - Mobile;LDIM;1,319500
375;Belarus;LDIF;1,571100
37525;Belarus - Mobile;LDIM;1,571100
37533;Belarus - Mobile;LDIM;1,571100
37529;Belarus - Mobile;LDIM;1,571100
37544;Belarus - Mobile;LDIM;1,571100
32;Belgium;LDIF;0,086900
322;Belgium - Brussels;LDIF;0,086900
3244;Belgium - Mobile;LDIM;1,792900
32460;Belgium - Mobile;LDIM;1,792900
324656;Belgium - Mobile;LDIM;1,792900
324658;Belgium - Mobile;LDIM;1,792900
324663;Belgium - Mobile;LDIM;1,792900
324665;Belgium - Mobile;LDIM;1,792900
324667;Belgium - Mobile;LDIM;1,792900
324682;Belgium - Mobile;LDIM;1,792900
324689;Belgium - Mobile;LDIM;1,792900
32706;Belgium - Mobile;LDIM;1,792900
3277;Belgium - Mobile;LDIM;1,792900
324651;Belgium - Mobile;LDIM;1,792900
324652;Belgium - Mobile;LDIM;1,792900
324653;Belgium - Mobile;LDIM;1,792900
324654;Belgium - Mobile;LDIM;1,792900
324669;Belgium - Mobile;LDIM;1,792900
324671;Belgium - Mobile;LDIM;1,792900
324672;Belgium - Mobile;LDIM;1,792900
324681;Belgium - Mobile;LDIM;1,792900
32770;Belgium - Mobile;LDIM;1,792900
3245;Belgium - Mobile;LDIM;1,792900
324630;Belgium - Mobile;LDIM;1,792900
324655;Belgium - Mobile;LDIM;1,792900
324657;Belgium - Mobile;LDIM;1,792900
324664;Belgium - Mobile;LDIM;1,792900
324666;Belgium - Mobile;LDIM;1,792900
324683;Belgium - Mobile;LDIM;1,792900
3247;Belgium - Mobile;LDIM;1,792900
32704;Belgium - Mobile;LDIM;1,792900
32707;Belgium - Mobile;LDIM;1,792900
3217;Belgium - Mobile;LDIM;1,792900
3218;Belgium - Mobile;LDIM;1,792900
324659;Belgium - Mobile;LDIM;1,792900
324660;Belgium - Mobile;LDIM;1,792900
324661;Belgium - Mobile;LDIM;1,792900
324662;Belgium - Mobile;LDIM;1,792900
3248;Belgium - Mobile;LDIM;1,792900
3249;Belgium - Mobile;LDIM;1,792900
32702;Belgium - Mobile;LDIM;1,792900
32703;Belgium - Mobile;LDIM;1,792900
501;Belize;LDIF;1,403500
501609;Belize - Mobile;LDIM;1,517400
501615;Belize - Mobile;LDIM;1,517400
501614;Belize - Mobile;LDIM;1,517400
501603;Belize - Mobile;LDIM;1,517400
501606;Belize - Mobile;LDIM;1,517400
501608;Belize - Mobile;LDIM;1,517400
229;Benin;LDIF;0,430000
22961;Benin - Mobile;LDIM;0,430000
22962;Benin - Mobile;LDIM;0,430000
22963;Benin - Mobile;LDIM;0,430000
22964;Benin - Mobile;LDIM;0,430000
22966;Benin - Mobile;LDIM;0,430000
22968;Benin - Mobile;LDIM;0,430000
2299;Benin - Mobile;LDIM;0,430000
22965;Benin - Mobile;LDIM;0,430000
22967;Benin - Mobile;LDIM;0,430000
1441;Bermuda;LDIF;0,342900
14413;Bermuda - Mobile;LDIM;0,342900
144150;Bermuda - Mobile;LDIM;0,342900
144152;Bermuda - Mobile;LDIM;0,342900
144159;Bermuda - Mobile;LDIM;0,342900
144151;Bermuda - Mobile;LDIM;0,342900
144153;Bermuda - Mobile;LDIM;0,342900
14417;Bermuda - Mobile;LDIM;0,342900
975;Bhutan;LDIF;1,403500
97516;Bhutan - Mobile;LDIM;1,746500
97517;Bhutan - Mobile;LDIM;1,746500
97577;Bhutan - Mobile;LDIM;1,746500
591;Bolivia;LDIF;0,710000
59138;Bolivia - Beni;LDIF;0,710000
59133;Bolivia - La Paz - Santa Cruz;LDIF;0,710000
59122;Bolivia - La Paz - Santa Cruz;LDIF;0,710000
5916;Bolivia - Mobile;LDIM;0,562500
5917;Bolivia - Mobile;LDIM;0,562500
387;Bosnia and Herzegovina;LDIF;1,658400
3879;Bosnia and Herzegovina - Mobile;LDIM;1,517400
3876;Bosnia and Herzegovina - Mobile;LDIM;1,517400
267;Botswana;LDIF;1,403500
2677;Botswana - Mobile;LDIM;1,746500
1284;British Virgin Islands;LDIF;1,403500
673;Brunei;LDIF;0,206700
6737;Brunei - Mobile;LDIM;0,206700
6738;Brunei - Mobile;LDIM;0,206700
673227;Brunei - Mobile;LDIM;0,206700
673228;Brunei - Mobile;LDIM;0,206700
673229;Brunei - Mobile;LDIM;0,206700
359;Bulgaria;LDIF;0,236600
35917;Bulgaria - Mobile;LDIM;2,020000
35988;Bulgaria - Mobile;LDIM;2,020000
35998;Bulgaria - Mobile;LDIM;2,020000
359437;Bulgaria - Mobile;LDIM;2,020000
359438;Bulgaria - Mobile;LDIM;2,020000
359439;Bulgaria - Mobile;LDIM;2,020000
35948;Bulgaria - Mobile;LDIM;2,020000
359430;Bulgaria - Mobile;LDIM;2,020000
35987;Bulgaria - Mobile;LDIM;2,020000
35989;Bulgaria - Mobile;LDIM;2,020000
35999;Bulgaria - Mobile;LDIM;2,020000
3592;Bulgaria - Sofia;LDIF;2,020000
226;Burkina Faso;LDIF;1,658400
22651;Burkina Faso - Mobile;LDIM;1,517400
2267;Burkina Faso - Mobile;LDIM;1,517400
2265077;Burkina Faso - Mobile;LDIM;1,517400
2266;Burkina Faso - Mobile;LDIM;1,517400
2265050;Burkina Faso - Mobile;LDIM;1,517400
257;Burundi;LDIF;1,403500
25779;Burundi - Mobile;LDIM;1,746500
25774;Burundi - Mobile;LDIM;1,746500
25776;Burundi - Mobile;LDIM;1,746500
25778;Burundi - Mobile;LDIM;1,746500
25729;Burundi - Mobile;LDIM;1,746500
25771;Burundi - Mobile;LDIM;1,746500
25772;Burundi - Mobile;LDIM;1,746500
25775;Burundi - Mobile;LDIM;1,746500
25777;Burundi - Mobile;LDIM;1,746500
855;Cambodia;LDIF;0,796300
8551;Cambodia - Mobile;LDIM;0,796300
85560;Cambodia - Mobile;LDIM;0,796300
85566;Cambodia - Mobile;LDIM;0,796300
85568;Cambodia - Mobile;LDIM;0,796300
85577;Cambodia - Mobile;LDIM;0,796300
8558;Cambodia - Mobile;LDIM;0,796300
85561;Cambodia - Mobile;LDIM;0,796300
85567;Cambodia - Mobile;LDIM;0,796300
85578;Cambodia - Mobile;LDIM;0,796300
8559;Cambodia - Mobile;LDIM;0,796300
85569;Cambodia - Mobile;LDIM;0,796300
85570;Cambodia - Mobile;LDIM;0,796300
85571;Cambodia - Mobile;LDIM;0,796300
85576;Cambodia - Mobile;LDIM;0,796300
237;Cameroon;LDIF;0,957800
23755;Cameroon - Mobile;LDIM;0,957800
2376;Cameroon - Mobile;LDIM;0,957800
2378;Cameroon - Mobile;LDIM;0,957800
2379;Cameroon - Mobile;LDIM;0,957800
23753;Cameroon - Mobile;LDIM;0,957800
23756;Cameroon - Mobile;LDIM;0,957800
2377;Cameroon - Mobile;LDIM;0,957800
23750;Cameroon - Mobile;LDIM;0,957800
23751;Cameroon - Mobile;LDIM;0,957800
23752;Cameroon - Mobile;LDIM;0,957800
1306;Canada;LDIF;0,040500
1343;Canada;LDIF;0,040500
1354;Canada;LDIF;0,040500
1365;Canada;LDIF;0,040500
1579;Canada;LDIF;0,040500
1581;Canada;LDIF;0,040500
1584;Canada;LDIF;0,040500
1587;Canada;LDIF;0,040500
1825;Canada;LDIF;0,040500
1873;Canada;LDIF;0,040500
1879;Canada;LDIF;0,040500
1902;Canada;LDIF;0,040500
1905;Canada;LDIF;0,040500
1204;Canada;LDIF;0,040500
1226;Canada;LDIF;0,040500
1437;Canada;LDIF;0,040500
1438;Canada;LDIF;0,040500
1450;Canada;LDIF;0,040500
1460;Canada;LDIF;0,040500
1474;Canada;LDIF;0,040500
1672;Canada;LDIF;0,040500
1705;Canada;LDIF;0,040500
1709;Canada;LDIF;0,040500
1778;Canada;LDIF;0,040500
1249;Canada;LDIF;0,040500
1289;Canada;LDIF;0,040500
1382;Canada;LDIF;0,040500
1418;Canada;LDIF;0,040500
1506;Canada;LDIF;0,040500
1519;Canada;LDIF;0,040500
1604;Canada;LDIF;0,040500
1639;Canada;LDIF;0,040500
1780;Canada;LDIF;0,040500
1807;Canada;LDIF;0,040500
1942;Canada;LDIF;0,040500
1236;Canada;LDIF;0,040500
1250;Canada;LDIF;0,040500
1403;Canada;LDIF;0,040500
1431;Canada;LDIF;0,040500
1514;Canada;LDIF;0,040500
1548;Canada;LDIF;0,040500
1600;Canada;LDIF;0,040500
1613;Canada;LDIF;0,040500
1782;Canada;LDIF;0,040500
1819;Canada;LDIF;0,040500
1867;Canada - Northwest Territories;LDIF;0,701700
1647;Canada - Toronto;LDIF;0,040500
1416;Canada - Toronto;LDIF;0,040500
238;Cape Verde;LDIF;1,403500
23843;Cape Verde - Mobile;LDIM;1,746500
23852;Cape Verde - Mobile;LDIM;1,746500
23851;Cape Verde - Mobile;LDIM;1,746500
23853;Cape Verde - Mobile;LDIM;1,746500
2381859;Cape Verde - Mobile;LDIM;1,746500
238189;Cape Verde - Mobile;LDIM;1,746500
23833;Cape Verde - Mobile;LDIM;1,746500
23858;Cape Verde - Mobile;LDIM;1,746500
23859;Cape Verde - Mobile;LDIM;1,746500
2389;Cape Verde - Mobile;LDIM;1,746500
1345;Cayman Islands;LDIF;0,442200
1345229;Cayman Islands - Mobile;LDIM;1,045900
1345249;Cayman Islands - Mobile;LDIM;1,045900
1345527;Cayman Islands - Mobile;LDIM;1,045900
1345545;Cayman Islands - Mobile;LDIM;1,045900
1345617;Cayman Islands - Mobile;LDIM;1,045900
1345625;Cayman Islands - Mobile;LDIM;1,045900
1345640;Cayman Islands - Mobile;LDIM;1,045900
1345646;Cayman Islands - Mobile;LDIM;1,045900
1345649;Cayman Islands - Mobile;LDIM;1,045900
1345919;Cayman Islands - Mobile;LDIM;1,045900
1345923;Cayman Islands - Mobile;LDIM;1,045900
1345930;Cayman Islands - Mobile;LDIM;1,045900
1345937;Cayman Islands - Mobile;LDIM;1,045900
1345235;Cayman Islands - Mobile;LDIM;1,045900
134532;Cayman Islands - Mobile;LDIM;1,045900
1345529;Cayman Islands - Mobile;LDIM;1,045900
1345546;Cayman Islands - Mobile;LDIM;1,045900
1345616;Cayman Islands - Mobile;LDIM;1,045900
1345623;Cayman Islands - Mobile;LDIM;1,045900
1345645;Cayman Islands - Mobile;LDIM;1,045900
1345647;Cayman Islands - Mobile;LDIM;1,045900
1345922;Cayman Islands - Mobile;LDIM;1,045900
1345924;Cayman Islands - Mobile;LDIM;1,045900
1345929;Cayman Islands - Mobile;LDIM;1,045900
1345936;Cayman Islands - Mobile;LDIM;1,045900
1345514;Cayman Islands - Mobile;LDIM;1,045900
1345516;Cayman Islands - Mobile;LDIM;1,045900
1345517;Cayman Islands - Mobile;LDIM;1,045900
1345525;Cayman Islands - Mobile;LDIM;1,045900
1345526;Cayman Islands - Mobile;LDIM;1,045900
1345626;Cayman Islands - Mobile;LDIM;1,045900
1345627;Cayman Islands - Mobile;LDIM;1,045900
1345629;Cayman Islands - Mobile;LDIM;1,045900
1345630;Cayman Islands - Mobile;LDIM;1,045900
1345925;Cayman Islands - Mobile;LDIM;1,045900
1345926;Cayman Islands - Mobile;LDIM;1,045900
1345927;Cayman Islands - Mobile;LDIM;1,045900
1345928;Cayman Islands - Mobile;LDIM;1,045900
1345547;Cayman Islands - Mobile;LDIM;1,045900
1345548;Cayman Islands - Mobile;LDIM;1,045900
1345549;Cayman Islands - Mobile;LDIM;1,045900
1345550;Cayman Islands - Mobile;LDIM;1,045900
1345663;Cayman Islands - Mobile;LDIM;1,045900
1345726;Cayman Islands - Mobile;LDIM;1,045900
1345916;Cayman Islands - Mobile;LDIM;1,045900
1345917;Cayman Islands - Mobile;LDIM;1,045900
1345938;Cayman Islands - Mobile;LDIM;1,045900
1345939;Cayman Islands - Mobile;LDIM;1,045900
1345948;Cayman Islands - Mobile;LDIM;1,045900
1345990;Cayman Islands - Mobile;LDIM;1,045900
236;Central Africa Republic;LDIF;2,040000
23672;Central Africa Republic - Mobile;LDIM;2,040000
23677;Central Africa Republic - Mobile;LDIM;2,040000
23670;Central Africa Republic - Mobile;LDIM;2,040000
23675;Central Africa Republic - Mobile;LDIM;2,040000
235;Chad;LDIF;0,900000
2352;Chad - Mobile;LDIM;0,900000
2353;Chad - Mobile;LDIM;0,900000
2354;Chad - Mobile;LDIM;0,900000
2356;Chad - Mobile;LDIM;0,900000
2359;Chad - Mobile;LDIM;0,900000
2355;Chad - Mobile;LDIM;0,900000
2357;Chad - Mobile;LDIM;0,900000
56;Chile;LDIF;0,109200
569;Chile - Mobile;LDIM;1,138100
562;Chile - Santiago;LDIF;0,109200
86;China;LDIF;0,064500
8610;China - Beijing;LDIF;0,064500
8613;China - Mobile;LDIM;0,064500
86147;China - Mobile;LDIM;0,064500
8615;China - Mobile;LDIM;0,064500
8617;China - Mobile;LDIM;0,064500
8618;China - Mobile;LDIM;0,064500
86145;China - Mobile;LDIM;0,064500
8621;China - Shanghai;LDIF;0,064500
57;Colombia;LDIF;0,700000
5712;Colombia - Bogota;LDIF;0,700000
5714;Colombia - Bogota;LDIF;0,700000
5713;Colombia - Bogota;LDIF;0,700000
5715;Colombia - Bogota;LDIF;0,700000
5716;Colombia - Bogota;LDIF;0,700000
5717;Colombia - Bogota;LDIF;0,700000
5718;Colombia - Bogota;LDIF;0,700000
5719;Colombia - Bogota;LDIF;0,700000
5724;Colombia - Cali;LDIF;0,700000
5726;Colombia - Cali;LDIF;0,700000
57288;Colombia - Cali;LDIF;0,700000
57289;Colombia - Cali;LDIF;0,700000
5723;Colombia - Cali;LDIF;0,700000
5725;Colombia - Cali;LDIF;0,700000
5742;Colombia - Medellin;LDIF;0,700000
5743;Colombia - Medellin;LDIF;0,700000
5744;Colombia - Medellin;LDIF;0,700000
5745;Colombia - Medellin;LDIF;0,700000
573;Colombia - Mobile;LDIM;0,539600
269;Comoros;LDIF;6,000000
2693;Comoros - Mobile;LDIM;4,710000
26976;Comoros - Mobile;LDIM;4,710000
242;Congo;LDIF;6,000000
24205;Congo - Mobile;LDIM;4,710000
24206;Congo - Mobile;LDIM;4,710000
24201;Congo - Mobile;LDIM;4,710000
24204;Congo - Mobile;LDIM;4,710000
243;Congo, Dem.Rep.Of  (Zaire);LDIF;6,000000
24368;Congo, Dem.Rep.Of - Mobile  (Zaire) ;LDIM;4,710000
24373;Congo, Dem.Rep.Of - Mobile  (Zaire) ;LDIM;4,710000
24378;Congo, Dem.Rep.Of - Mobile  (Zaire) ;LDIM;4,710000
2438;Congo, Dem.Rep.Of - Mobile  (Zaire) ;LDIM;4,710000
2439;Congo, Dem.Rep.Of - Mobile  (Zaire) ;LDIM;4,710000
682;Cook Islands;LDIF;6,000000
68255;Cook Islands - Mobile;LDIM;4,710000
506;Costa Rica;LDIF;0,291200
5063;Costa Rica - Mobile;LDIM;0,291200
5066;Costa Rica - Mobile;LDIM;0,291200
5067;Costa Rica - Mobile;LDIM;0,291200
5068;Costa Rica - Mobile;LDIM;0,291200
225;Cote d-Ivoire   (Ivory Coast);LDIF;0,870000
2250;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22540;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22548;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22550;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22559;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22576;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22542;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22544;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22545;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22546;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22547;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22577;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22578;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22587;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22590409;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
2252170;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22541;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22549;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22551;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22558;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
2256;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22554;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22555;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22556;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
22557;Cote d-Ivoire - Mobile (Ivory Coast);LDIM;0,870000
385;Croatia;LDIF;0,190000
38591;Croatia - Mobile;LDIM;1,108700
38595;Croatia - Mobile;LDIM;1,108700
385901;Croatia - Mobile;LDIM;1,108700
38592;Croatia - Mobile;LDIM;1,108700
38597;Croatia - Mobile;LDIM;1,108700
38598;Croatia - Mobile;LDIM;1,108700
38599;Croatia - Mobile;LDIM;1,108700
53;Cuba;LDIF;5,510800
357;Cyprus;LDIF;0,271100
35799;Cyprus - Mobile;LDIM;0,271100
357121;Cyprus - Mobile;LDIM;0,271100
357123;Cyprus - Mobile;LDIM;0,271100
35794;Cyprus - Mobile;LDIM;0,271100
35796;Cyprus - Mobile;LDIM;0,271100
357700;Cyprus - Mobile;LDIM;0,271100
3577777;Cyprus - Mobile;LDIM;0,271100
35780;Cyprus - Mobile;LDIM;0,271100
35790;Cyprus - Mobile;LDIM;0,271100
357122;Cyprus - Mobile;LDIM;0,271100
35795;Cyprus - Mobile;LDIM;0,271100
35797;Cyprus - Mobile;LDIM;0,271100
420;Czech Republic;LDIF;0,120000
